seed,condition,chart,method,dice,examples
13,unseen,3,wrong_output_action_control,0.33289071723444036,3
13,unseen,5,ordinary_chart_cnn_canonicalization,0.3944373265014928,3
13,unseen,5,d4_equivariant_chart_cnn_canonicalization,0.3944373265014928,3
13,unseen,5,direct_d4_equivariant_unet,5.51652290709717e-12,3
13,unseen,5,learned_multiplication_table_chart_model,0.3944373265014928,3
13,unseen,5,hard_retransport,0.3944373265014928,3
13,unseen,5,soft_retransport,0.3944373265014928,3
13,unseen,5,d4_test_time_augmentation,0.3944373265014928,3
13,unseen,5,supplied_chart_oracle,0.3944373265014928,3
13,unseen,5,random_chart_control,0.3944373265014928,3
13,unseen,5,wrong_output_action_control,0.3944373265014928,3
13,unseen,6,ordinary_chart_cnn_canonicalization,0.298141524192211,3
13,unseen,6,d4_equivariant_chart_cnn_canonicalization,0.298141524192211,3
13,unseen,6,direct_d4_equivariant_unet,5.3665160367657405e-12,3
13,unseen,6,learned_multiplication_table_chart_model,0.298141524192211,3
13,unseen,6,hard_retransport,0.298141524192211,3
13,unseen,6,soft_retransport,0.298141524192211,3
13,unseen,6,d4_test_time_augmentation,0.298141524192211,3
13,unseen,6,supplied_chart_oracle,0.298141524192211,3
13,unseen,6,random_chart_control,0.298141524192211,3
13,unseen,6,wrong_output_action_control,0.298141524192211,3
13,unseen,7,ordinary_chart_cnn_canonicalization,0.41382878692003505,3
13,unseen,7,d4_equivariant_chart_cnn_canonicalization,0.41382878692003505,3
13,unseen,7,direct_d4_equivariant_unet,2.5203917628966797e-12,3
13,unseen,7,learned_multiplication_table_chart_model,0.41382878692003505,3
13,unseen,7,hard_retransport,0.41382878692003505,3
13,unseen,7,soft_retransport,0.41382878692003505,3
13,unseen,7,d4_test_time_augmentation,0.41382878692003505,3
13,unseen,7,supplied_chart_oracle,0.41382878692003505,3
13,unseen,7,random_chart_control,0.41382878692003505,3
13,unseen,7,wrong_output_action_control,0.41382878692003505,3
14,seen,0,ordinary_chart_cnn_canonicalization,5.582757341019812e-12,6
14,seen,0,d4_equivariant_chart_cnn_canonicalization,5.582757341019812e-12,6
14,seen,0,direct_d4_equivariant_unet,5.582757341019812e-12,6
14,seen,0,learned_multiplication_table_chart_model,5.582757341019812e-12,6
14,seen,0,hard_retransport,5.582757341019812e-12,6
14,seen,0,soft_retransport,5.582757341019812e-12,6
14,seen,0,d4_test_time_augmentation,5.582757341019812e-12,6
14,seen,0,supplied_chart_oracle,5.582757341019812e-12,6
14,seen,0,random_chart_control,5.582757341019812e-12,6
14,seen,0,wrong_output_action_control,5.582757341019812e-12,6
14,seen,1,ordinary_chart_cnn_canonicalization,3.3264714925157867e-12,5
14,seen,1,d4_equivariant_chart_cnn_canonicalization,3.3264714925157867e-12,5
14,seen,1,direct_d4_equivariant_unet,3.3264714925157867e-12,5
14,seen,1,learned_multiplication_table_chart_model,3.3264714925157867e-12,5
14,seen,1,hard_retransport,3.3264714925157867e-12,5
14,seen,1,soft_retransport,3.3264714925157867e-12,5
14,seen,1,d4_test_time_augmentation,3.3264714925157867e-12,5
14,seen,1,supplied_chart_oracle,3.3264714925157867e-12,5
14,seen,1,random_chart_control,3.3264714925157867e-12,5
14,seen,1,wrong_output_action_control,3.3264714925157867e-12,5
14,seen,4,ordinary_chart_cnn_canonicalization,4.818909590478593e-12,5
14,seen,4,d4_equivariant_chart_cnn_canonicalization,4.818909590478593e-12,5
14,seen,4,direct_d4_equivariant_unet,4.818909590478593e-12,5
14,seen,4,learned_multiplication_table_chart_model,4.818909590478593e-12,5
14,seen,4,hard_retransport,4.818909590478593e-12,5
14,seen,4,soft_retransport,4.818909590478593e-12,5
14,seen,4,d4_test_time_augmentation,4.818909590478593e-12,5
14,seen,4,supplied_chart_oracle,4.818909590478593e-12,5
14,seen,4,random_chart_control,4.818909590478593e-12,5
14,seen,4,wrong_output_action_control,4.818909590478593e-12,5
14,unseen,2,ordinary_chart_cnn_canonicalization,5.817919964104939e-12,4
14,unseen,2,d4_equivariant_chart_cnn_canonicalization,5.817919964104939e-12,4
14,unseen,2,direct_d4_equivariant_unet,5.817919964104939e-12,4
14,unseen,2,learned_multiplication_table_chart_model,5.817919964104939e-12,4
14,unseen,2,hard_retransport,5.817919964104939e-12,4
14,unseen,2,soft_retransport,5.817919964104939e-12,4
14,unseen,2,d4_test_time_augmentation,5.817919964104939e-12,4
14,unseen,2,supplied_chart_oracle,5.817919964104939e-12,4
14,unseen,2,random_chart_control,5.817919964104939e-12,4
14,unseen,2,wrong_output_action_control,5.817919964104939e-12,4
14,unseen,3,ordinary_chart_cnn_canonicalization,3.5804924947974137e-12,3
14,unseen,3,d4_equivariant_chart_cnn_canonicalization,3.5804924947974137e-12,3
14,unseen,3,direct_d4_equivariant_unet,3.5804924947974137e-12,3
14,unseen,3,learned_multiplication_table_chart_model,3.5804924947974137e-12,3
14,unseen,3,hard_retransport,3.5804924947974137e-12,3
14,unseen,3,soft_retransport,3.5804924947974137e-12,3
14,unseen,3,d4_test_time_augmentation,3.5804924947974137e-12,3
14,unseen,3,supplied_chart_oracle,3.5804924947974137e-12,3
14,unseen,3,random_chart_control,3.5804924947974137e-12,3
14,unseen,3,wrong_output_action_control,3.5804924947974137e-12,3
14,unseen,5,ordinary_chart_cnn_canonicalization,5.51652290709717e-12,3
14,unseen,5,d4_equivariant_chart_cnn_canonicalization,5.51652290709717e-12,3
14,unseen,5,direct_d4_equivariant_unet,5.51652290709717e-12,3
14,unseen,5,learned_multiplication_table_chart_model,5.51652290709717e-12,3
14,unseen,5,hard_retransport,5.51652290709717e-12,3
14,unseen,5,soft_retransport,5.51652290709717e-12,3
14,unseen,5,d4_test_time_augmentation,5.51652290709717e-12,3
14,unseen,5,supplied_chart_oracle,5.51652290709717e-12,3
14,unseen,5,random_chart_control,5.51652290709717e-12,3
14,unseen,5,wrong_output_action_control,5.51652290709717e-12,3
14,unseen,6,ordinary_chart_cnn_canonicalization,5.3665160367657405e-12,3
14,unseen,6,d4_equivariant_chart_cnn_canonicalization,5.3665160367657405e-12,3
14,unseen,6,direct_d4_equivariant_unet,5.3665160367657405e-12,3
14,unseen,6,learned_multiplication_table_chart_model,5.3665160367657405e-12,3
14,unseen,6,hard_retransport,5.3665160367657405e-12,3
14,unseen,6,soft_retransport,5.3665160367657405e-12,3
14,unseen,6,d4_test_time_augmentation,5.3665160367657405e-12,3
14,unseen,6,supplied_chart_oracle,5.3665160367657405e-12,3
14,unseen,6,random_chart_control,5.3665160367657405e-12,3
14,unseen,6,wrong_output_action_control,5.3665160367657405e-12,3
14,unseen,7,ordinary_chart_cnn_canonicalization,2.5203917628966797e-12,3
14,unseen,7,d4_equivariant_chart_cnn_canonicalization,2.5203917628966797e-12,3
14,unseen,7,direct_d4_equivariant_unet,2.5203917628966797e-12,3
14,unseen,7,learned_multiplication_table_chart_model,2.5203917628966797e-12,3
14,unseen,7,hard_retransport,2.5203917628966797e-12,3
14,unseen,7,soft_retransport,2.5203917628966797e-12,3
14,unseen,7,d4_test_time_augmentation,2.5203917628966797e-12,3
14,unseen,7,supplied_chart_oracle,2.5203917628966797e-12,3
14,unseen,7,random_chart_control,2.5203917628966797e-12,3
14,unseen,7,wrong_output_action_control,2.5203917628966797e-12,3
