evidence_label,mode,seed,node,task_order,parent,appended_task,depth,training_examples_per_edge,epochs_per_edge,optimizer_steps_this_edge,edge_training_seconds,final_training_loss,validation_mean_accuracy,validation_worst_accuracy,validation_a_accuracy,validation_b_accuracy,validation_c_accuracy,first_task_forgetting,state_sha256,checkpoint_sha256,trainable_parameters,adapter_total_parameters,frozen_encoder_parameters,stored_bytes,source_m0_path,source_m0_sha256,test_mean_accuracy,test_worst_domain_accuracy,test_mean_nll,test_mean_brier,test_mean_ece,test_a_accuracy,test_a_nll,test_a_brier,test_a_ece,test_b_accuracy,test_b_nll,test_b_brier,test_b_ece,test_c_accuracy,test_c_nll,test_c_brier,test_c_ece
natural_model_lineage,scored_after_logit_hash,0,M0,,,,0,0,0,0,0.0,,0.4694010416666667,0.2265625,0.2265625,0.5625,0.619140625,,7f59cff695b289281182658279c2f94a49782208c4a5a6d3f4ff751235f97cee,5a66cb71a33aaabe90d2a0b9ac17569dfc139c159cece7b35b4f63f37e21f473,1162,1162,11176512,4648,/Users/tinggong/Documents/Codex/2026-07-19/holonomy-applications/work/TwistedMerge-holonomy-applications/reports/tmp/holonomy_applications/shared_corpus_confirmatory/adapter_seed_0.pt,07315995b507da60576589abe804768109e38469fa5a1de144b9e2e77409c4ef,0.4626666605472564,0.2479999959468841,1.6431390047073364,0.696810225645701,0.1138967701335786,0.2479999959468841,2.3792355060577393,0.9475072622299194,0.2417481673546717,0.5230000019073486,1.3568288087844849,0.616746187210083,0.0508922302396968,0.6169999837875366,1.1933526992797852,0.5261772274971008,0.0490499128063675
natural_model_lineage,scored_after_logit_hash,0,M_A,A,M0,A,1,2500,12,120,0.0421437919139862,1.491580367088318,0.4967447916666667,0.46484375,0.46484375,0.49609375,0.529296875,0.0,d817d3ecdd2725bad432a48dfdd7284c2645b4e765cebd51312a1fe03a35f123,ea5ba9e9562edcf04ed209e6eb82efa201fd4ebc03885113bc4888dc7638f5a9,1162,1162,11176512,4648,,,0.4866666694482167,0.4230000078678131,1.6220767100652058,0.6791790326436361,0.102132326530409,0.4230000078678131,1.6251990795135498,0.7142012715339661,0.0290356321493163,0.515999972820282,1.5694398880004885,0.6542505025863647,0.0926249598123831,0.5210000276565552,1.6715911626815796,0.6690853238105774,0.1847363876295276
natural_model_lineage,scored_after_logit_hash,0,M_B,B,M0,B,1,2500,12,120,0.032889958936721,1.019599676132202,0.4850260416666667,0.25,0.25,0.576171875,0.62890625,0.0,4e7f7d9a7b132e726a08beb944670f277e8fe1cfc786ff066eab8f7b3f68425a,59d0680c18c9efbd5f8c9b2f6b8174199ba55dc934339d5de8ec35dde5415fbf,1162,1162,11176512,4648,,,0.4809999863306681,0.2739999890327453,1.6374817689259846,0.682198166847229,0.1272762244237431,0.2739999890327453,2.3419837951660156,0.9189658164978028,0.2423668935662135,0.5709999799728394,1.2672899961471558,0.5734888911247253,0.0425960864231456,0.5979999899864197,1.3031715154647827,0.5541397929191589,0.0968656932818703
natural_model_lineage,scored_after_logit_hash,0,M_C,C,M0,C,1,2500,12,120,0.0346002080477774,0.7842292189598083,0.466796875,0.21484375,0.21484375,0.521484375,0.6640625,0.0,92932f227b8c55c135c7059e04e5fc57aea2c275c1c3020d54043033318e6ea1,67c20342b752706dc9f4089b41e131c069b71bc671eaaa2c8cae69b5d54681c9,1162,1162,11176512,4648,,,0.4770000080267588,0.2290000021457672,1.6598395506540935,0.6890841126441956,0.125713585303553,0.2290000021457672,2.606527805328369,0.987265169620514,0.2935123236966319,0.5370000004768372,1.3567254543304443,0.6137940883636475,0.049820799351437,0.6650000214576721,1.0162653923034668,0.4661930799484253,0.0338076328625902
natural_model_lineage,scored_after_logit_hash,0,M_AB,AB,M_A,B,2,2500,12,120,0.0328954169526696,1.0331823825836182,0.486328125,0.271484375,0.271484375,0.572265625,0.615234375,0.193359375,3ff3ba9e711fb8225943ebfd787fad6e954002ca9b318f0ecfd89be625e18cf1,0d389381518e52d197009c76da209ff5b9f57f0664b378351f3733606553d127,1162,1162,11176512,4648,,,0.4899999996026357,0.3089999854564667,1.5920332670211792,0.6694228649139404,0.1123900705715641,0.3089999854564667,2.19223952293396,0.8779876828193665,0.1946355832624249,0.5699999928474426,1.2641105651855469,0.5709401369094849,0.0359872597618959,0.5910000205039978,1.3197497129440308,0.55934077501297,0.1065473686903715
natural_model_lineage,scored_after_logit_hash,0,M_AC,AC,M_A,C,2,2500,12,120,0.0317410840652883,0.7995201945304871,0.4811197916666667,0.244140625,0.244140625,0.53125,0.66796875,0.220703125,0f6641a7a12999429c47d54595159d3dfc9533b6c6ea1bb17bec7cc0e633965a,927ec4b85d9de5bc8c8b9521268c1e418cc586a30e0b875fa180b9aebf0c81e8,1162,1162,11176512,4648,,,0.4879999955495198,0.2630000114440918,1.5731676816940308,0.6664151549339294,0.0981975771621819,0.2630000114440918,2.3753159046173096,0.930504024028778,0.2313227577251382,0.5370000004768372,1.3350354433059692,0.6047511696815491,0.0494397785514593,0.6639999747276306,1.0091516971588137,0.4639902710914612,0.0138301952099482
natural_model_lineage,scored_after_logit_hash,0,M_BA,BA,M_B,A,2,2500,12,120,0.0315704168751835,1.4775506258010864,0.4908854166666667,0.455078125,0.455078125,0.5,0.517578125,0.076171875,56683540cf6a134b67efdf014f53745713e5fa0e9c23ddc01fce4b3c37f446ce,e59fa3f1271df200f9694cea62fc93902b289f6ae75c3882d0cf19cc9921438a,1162,1162,11176512,4648,,,0.4916666646798451,0.4199999868869781,1.6102790832519531,0.672154446442922,0.1025273913983255,0.4199999868869781,1.6119588613510132,0.7099819779396057,0.0335443877847865,0.5230000019073486,1.5623899698257446,0.6486129760742188,0.0975152836181223,0.5320000052452087,1.6564884185791016,0.6578683853149414,0.1765225027920678
natural_model_lineage,scored_after_logit_hash,0,M_BC,BC,M_B,C,2,2500,12,120,0.0433047080878168,0.7878457903862,0.4733072916666667,0.208984375,0.208984375,0.533203125,0.677734375,0.04296875,910e9bcbd92dbf6de59f4a760efaad894c2cd28d9b3a883612b990256090c715,4175274554192595f3364bfd23f6be0a1e4dad135cd0af0ac4dfbd220f90b95c,1162,1162,11176512,4648,,,0.4763333251078923,0.2329999953508377,1.657136599222819,0.6868781248728434,0.1319822647249869,0.2329999953508377,2.621513843536377,0.9909389019012452,0.3029065945884213,0.5370000004768372,1.3356082439422607,0.6054064035415649,0.0680183875374496,0.6589999794960022,1.0142877101898191,0.4642890691757202,0.0250218120490899
natural_model_lineage,scored_after_logit_hash,0,M_CA,CA,M_C,A,2,2500,12,120,0.0335184580180794,1.4984320402145386,0.505859375,0.447265625,0.447265625,0.501953125,0.568359375,0.095703125,a7f55a0220bcc869186d630caca8e8c436dc14f6d1c071a4ba0f711cdcaa86a3,89a5156c2b275e10926d56294baad9cfb1ae6c769d1f8aa3776ac789bfe54b53,1162,1162,11176512,4648,,,0.4946666558583577,0.4169999957084656,1.5643168290456135,0.662054975827535,0.0946070475038141,0.4169999957084656,1.6209969520568848,0.7124326825141907,0.0251748120062984,0.5189999938011169,1.5733294486999512,0.6543592810630798,0.1017535816063173,0.5479999780654907,1.4986240863800049,0.6193729639053345,0.1568927488988265
natural_model_lineage,scored_after_logit_hash,0,M_CB,CB,M_C,B,2,2500,12,120,0.0339778331108391,1.0275897979736328,0.4876302083333333,0.25,0.25,0.576171875,0.63671875,0.02734375,badd6ed31215ce3ce3b8d1ffabd3c5ac6a50a1befc507fd777821713de478552,4f049c66104e3f272134a5d2a93da5ff2dba0371ea55b6ae337093c8be0ce7e4,1162,1162,11176512,4648,,,0.4803333381811778,0.2709999978542328,1.6353693008422852,0.680610736211141,0.1287956157466396,0.2709999978542328,2.3795905113220215,0.9225661158561708,0.2504912300501019,0.5590000152587891,1.2701539993286133,0.5755070447921753,0.0470765075588133,0.6110000014305115,1.2563633918762207,0.5437590479850769,0.0888191096310038
