seed,layer,loop_name,loop_vertices,identity_distance,spectral_radius,singular_value_spread,trace_over_dimension_real,determinant_sign,log_absolute_determinant,nearest_orthogonal_distance,eigen_modulus_mean,eigen_modulus_std,absolute_eigenphase_mean,absolute_eigenphase_max,transport_test_bootstrap_mean,transport_test_bootstrap_ci_low,transport_test_bootstrap_ci_high,transport_validation_bootstrap_mean,transport_validation_bootstrap_ci_low,transport_validation_bootstrap_ci_high,transport_validation_stability_width,maximum_edge_validation_residual,maximum_edge_condition_number,stable_nonidentity,centrality_taxonomy_only,brauer_class_claimed
0,early,AB_square,M0->M_A->M_AB->M_B->M0,1.004550685880048e-14,1.000000000000005,4.3298697960381105e-15,1.0,1.0,2.6645352591003544e-15,4.375358245477798e-15,1.0,1.974941346818439e-15,5.7593603902464596e-15,1.900313268092937e-14,1.0045506858800475e-14,1.004550685880048e-14,1.004550685880048e-14,1.0045506858800475e-14,1.004550685880048e-14,1.004550685880048e-14,0.0,3.551977276745266e-15,1.000000000000001,False,1.004550685880048e-14,False
0,early,AC_square,M0->M_A->M_AC->M_C->M0,1.004550685880048e-14,1.000000000000005,4.3298697960381105e-15,1.0,1.0,2.6645352591003544e-15,4.375358245477798e-15,1.0,1.974941346818439e-15,5.7593603902464596e-15,1.900313268092937e-14,1.0045506858800475e-14,1.004550685880048e-14,1.004550685880048e-14,1.0045506858800475e-14,1.004550685880048e-14,1.004550685880048e-14,0.0,3.551977276745266e-15,1.000000000000001,False,1.004550685880048e-14,False
0,early,BC_square,M0->M_B->M_BC->M_C->M0,1.004550685880048e-14,1.000000000000005,4.3298697960381105e-15,1.0,1.0,2.6645352591003544e-15,4.375358245477798e-15,1.0,1.974941346818439e-15,5.7593603902464596e-15,1.900313268092937e-14,1.0045506858800475e-14,1.004550685880048e-14,1.004550685880048e-14,1.0045506858800475e-14,1.004550685880048e-14,1.004550685880048e-14,0.0,3.551977276745266e-15,1.000000000000001,False,1.004550685880048e-14,False
0,early,swap_ABC_BAC,M0->M_A->M_AB->M_ABC->M_BAC->M_BA->M_B->M0,1.7579637002900842e-14,1.000000000000011,6.439293542825908e-15,1.0000000000000002,1.0,4.662936703425588e-15,7.307731926312757e-15,1.0,3.687054258544583e-15,1.0265790889731748e-14,3.2961433739988265e-14,1.7579637002900832e-14,1.7579637002900842e-14,1.7579637002900842e-14,1.7579637002900832e-14,1.7579637002900842e-14,1.7579637002900842e-14,0.0,3.551977276745266e-15,1.000000000000001,False,1.7579198779074242e-14,False
0,early,swap_ABC_ACB,M0->M_A->M_AB->M_ABC->M_ACB->M_AC->M_A->M0,1.7579637002900842e-14,1.000000000000011,6.439293542825908e-15,1.0000000000000002,1.0,4.662936703425588e-15,7.307731926312757e-15,1.0,3.687054258544583e-15,1.0265790889731748e-14,3.2961433739988265e-14,1.7579637002900832e-14,1.7579637002900842e-14,1.7579637002900842e-14,1.7579637002900832e-14,1.7579637002900842e-14,1.7579637002900842e-14,0.0,3.551977276745266e-15,1.000000000000001,False,1.7579198779074242e-14,False
0,early,swap_ACB_CAB,M0->M_A->M_AC->M_ACB->M_CAB->M_CA->M_C->M0,1.7579637002900842e-14,1.000000000000011,6.439293542825908e-15,1.0000000000000002,1.0,4.662936703425588e-15,7.307731926312757e-15,1.0,3.687054258544583e-15,1.0265790889731748e-14,3.2961433739988265e-14,1.7579637002900832e-14,1.7579637002900842e-14,1.7579637002900842e-14,1.7579637002900832e-14,1.7579637002900842e-14,1.7579637002900842e-14,0.0,3.551977276745266e-15,1.000000000000001,False,1.7579198779074242e-14,False
0,early,swap_BAC_BCA,M0->M_B->M_BA->M_BAC->M_BCA->M_BC->M_B->M0,1.7579637002900842e-14,1.000000000000011,6.439293542825908e-15,1.0000000000000002,1.0,4.662936703425588e-15,7.307731926312757e-15,1.0,3.687054258544583e-15,1.0265790889731748e-14,3.2961433739988265e-14,1.7579637002900832e-14,1.7579637002900842e-14,1.7579637002900842e-14,1.7579637002900832e-14,1.7579637002900842e-14,1.7579637002900842e-14,0.0,3.551977276745266e-15,1.000000000000001,False,1.7579198779074242e-14,False
0,early,swap_BCA_CBA,M0->M_B->M_BC->M_BCA->M_CBA->M_CB->M_C->M0,1.7579637002900842e-14,1.000000000000011,6.439293542825908e-15,1.0000000000000002,1.0,4.662936703425588e-15,7.307731926312757e-15,1.0,3.687054258544583e-15,1.0265790889731748e-14,3.2961433739988265e-14,1.7579637002900832e-14,1.7579637002900842e-14,1.7579637002900842e-14,1.7579637002900832e-14,1.7579637002900842e-14,1.7579637002900842e-14,0.0,3.551977276745266e-15,1.000000000000001,False,1.7579198779074242e-14,False
0,early,swap_CAB_CBA,M0->M_C->M_CA->M_CAB->M_CBA->M_CB->M_C->M0,1.7579637002900842e-14,1.000000000000011,6.439293542825908e-15,1.0000000000000002,1.0,4.662936703425588e-15,7.307731926312757e-15,1.0,3.687054258544583e-15,1.0265790889731748e-14,3.2961433739988265e-14,1.7579637002900832e-14,1.7579637002900842e-14,1.7579637002900842e-14,1.7579637002900832e-14,1.7579637002900842e-14,1.7579637002900842e-14,0.0,3.551977276745266e-15,1.000000000000001,False,1.7579198779074242e-14,False
0,mid,AB_square,M0->M_A->M_AB->M_B->M0,5.192600979743129e-15,1.000000000000011,9.103828801926284e-15,1.0000000000000016,1.0,4.9737991503206944e-14,5.3940871773931056e-15,1.0000000000000016,3.2355787722910002e-15,1.3386793431238657e-15,4.7851499608387336e-15,5.1926009797431286e-15,5.192600979743129e-15,5.192600979743129e-15,5.1926009797431286e-15,5.192600979743129e-15,5.192600979743129e-15,0.0,1.3138191023365668e-15,1.000000000000002,False,4.954514952302592e-15,False
