dataset,run_id,setting_id,n_models,width,matching,domain_shift,relation_count,relation_count_status,observed_holonomy_order_lcm,group_closure_status,group_exponent_if_exact,primary_source_order,primary_source_order_source,prime,prime_index,p_adic_multiplicity,eligible,remaining_order_before,remaining_order_after,peel_mode,cumulative_primes,quotient_fit_status,quotient_relation_violation_rate,edge_correction_status,corrected_cycle_residual_before,corrected_cycle_residual_after,correction_reduces_residual,method,baseline_method,implemented_corrected_merge,validation_accuracy,test_accuracy,baseline_validation_accuracy,baseline_test_accuracy,validation_delta_vs_baseline,test_delta_vs_baseline,wrong_prime_control_validation_accuracy,wrong_prime_control_test_accuracy,shuffled_control_validation_accuracy,shuffled_control_test_accuracy,random_residual_control_validation_accuracy,random_residual_control_test_accuracy,validation_delta_vs_wrong_prime_control,validation_delta_vs_shuffled_control,validation_delta_vs_random_residual_control,capacity_multiplier,inference_multiplier,uses_test_for_selection,selected_by_validation,claim_status,na_reason,architecture,seed
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,813960,truncated_max_group_order,,813960,observed_holonomy_order_lcm,13,5,0,False,323,323,cumulative,"2,3,5,7",prime_not_eligible,,prime_not_eligible,,,False,cumulative_peel_then_c2m3,c2m3_synchronized,False,,,0.804,0.78,,,,,,,,,,,,1.0,1.0,False,False,prime_not_eligible,prime_not_eligible,mlp,4200
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,813960,truncated_max_group_order,,813960,observed_holonomy_order_lcm,13,5,0,False,323,323,cumulative,"2,3,5,7",prime_not_eligible,,prime_not_eligible,,,False,cumulative_peel_then_monomial,monomial_scale,False,,,0.804,0.774,,,,,,,,,,,,1.0,1.0,False,False,prime_not_eligible,prime_not_eligible,mlp,4200
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,813960,truncated_max_group_order,,813960,observed_holonomy_order_lcm,13,5,0,False,323,323,control,13,prime_not_eligible,,prime_not_eligible,,,False,wrong_prime_peel_control,c2m3_synchronized,False,,,0.804,0.78,,,,,,,,,,,,1.0,1.0,False,False,prime_not_eligible,prime_not_eligible,mlp,4200
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,813960,truncated_max_group_order,,813960,observed_holonomy_order_lcm,13,5,0,False,323,323,control,13,prime_not_eligible,,prime_not_eligible,,,False,shuffled_prime_quotient_control,c2m3_synchronized,False,,,0.804,0.78,,,,,,,,,,,,1.0,1.0,False,False,prime_not_eligible,prime_not_eligible,mlp,4200
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,813960,truncated_max_group_order,,813960,observed_holonomy_order_lcm,13,5,0,False,323,323,control,13,prime_not_eligible,,prime_not_eligible,,,False,random_same_residual_norm_peel_control,c2m3_synchronized,False,,,0.804,0.78,,,,,,,,,,,,1.0,1.0,False,False,prime_not_eligible,prime_not_eligible,mlp,4200
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,813960,truncated_max_group_order,,813960,observed_holonomy_order_lcm,17,6,1,True,323,19,peel_p_only,17,heuristic_primary_residue_completion,0.0,quotient_edge_correction_found,0.25,0.0,True,peel_p_then_c2m3,c2m3_synchronized,False,,,0.804,0.78,,,,,,,,,,,,1.0,1.0,False,False,diagnostic_only,merge_rerun_not_implemented,mlp,4200
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,813960,truncated_max_group_order,,813960,observed_holonomy_order_lcm,17,6,1,True,323,19,peel_p_only,17,heuristic_primary_residue_completion,0.0,quotient_edge_correction_found,0.25,0.0,True,peel_p_then_monomial,monomial_scale,False,,,0.804,0.774,,,,,,,,,,,,1.0,1.0,False,False,diagnostic_only,merge_rerun_not_implemented,mlp,4200
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,813960,truncated_max_group_order,,813960,observed_holonomy_order_lcm,17,6,1,True,323,19,cumulative,"2,3,5,7,17",heuristic_primary_residue_completion,0.0,quotient_edge_correction_found,0.25,0.0,True,cumulative_peel_then_c2m3,c2m3_synchronized,False,,,0.804,0.78,,,,,,,,,,,,1.0,1.0,False,False,diagnostic_only,merge_rerun_not_implemented,mlp,4200
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,813960,truncated_max_group_order,,813960,observed_holonomy_order_lcm,17,6,1,True,323,19,cumulative,"2,3,5,7,17",heuristic_primary_residue_completion,0.0,quotient_edge_correction_found,0.25,0.0,True,cumulative_peel_then_monomial,monomial_scale,False,,,0.804,0.774,,,,,,,,,,,,1.0,1.0,False,False,diagnostic_only,merge_rerun_not_implemented,mlp,4200
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,813960,truncated_max_group_order,,813960,observed_holonomy_order_lcm,17,6,1,True,323,19,control,17,heuristic_primary_residue_completion,0.0,quotient_edge_correction_found,0.25,0.0,True,wrong_prime_peel_control,c2m3_synchronized,False,,,0.804,0.78,,,,,,,,,,,,1.0,1.0,False,False,diagnostic_only,merge_rerun_not_implemented,mlp,4200
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,813960,truncated_max_group_order,,813960,observed_holonomy_order_lcm,17,6,1,True,323,19,control,17,heuristic_primary_residue_completion,0.0,quotient_edge_correction_found,0.25,0.0,True,shuffled_prime_quotient_control,c2m3_synchronized,False,,,0.804,0.78,,,,,,,,,,,,1.0,1.0,False,False,diagnostic_only,merge_rerun_not_implemented,mlp,4200
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,813960,truncated_max_group_order,,813960,observed_holonomy_order_lcm,17,6,1,True,323,19,control,17,heuristic_primary_residue_completion,0.0,quotient_edge_correction_found,0.25,0.0,True,random_same_residual_norm_peel_control,c2m3_synchronized,False,,,0.804,0.78,,,,,,,,,,,,1.0,1.0,False,False,diagnostic_only,merge_rerun_not_implemented,mlp,4200
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,813960,truncated_max_group_order,,813960,observed_holonomy_order_lcm,23,7,0,False,19,19,peel_p_only,23,prime_not_eligible,,prime_not_eligible,,,False,peel_p_then_c2m3,c2m3_synchronized,False,,,0.804,0.78,,,,,,,,,,,,1.0,1.0,False,False,prime_not_eligible,prime_not_eligible,mlp,4200
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,813960,truncated_max_group_order,,813960,observed_holonomy_order_lcm,23,7,0,False,19,19,peel_p_only,23,prime_not_eligible,,prime_not_eligible,,,False,peel_p_then_monomial,monomial_scale,False,,,0.804,0.774,,,,,,,,,,,,1.0,1.0,False,False,prime_not_eligible,prime_not_eligible,mlp,4200
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,813960,truncated_max_group_order,,813960,observed_holonomy_order_lcm,23,7,0,False,19,19,cumulative,"2,3,5,7,17",prime_not_eligible,,prime_not_eligible,,,False,cumulative_peel_then_c2m3,c2m3_synchronized,False,,,0.804,0.78,,,,,,,,,,,,1.0,1.0,False,False,prime_not_eligible,prime_not_eligible,mlp,4200
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,813960,truncated_max_group_order,,813960,observed_holonomy_order_lcm,23,7,0,False,19,19,cumulative,"2,3,5,7,17",prime_not_eligible,,prime_not_eligible,,,False,cumulative_peel_then_monomial,monomial_scale,False,,,0.804,0.774,,,,,,,,,,,,1.0,1.0,False,False,prime_not_eligible,prime_not_eligible,mlp,4200
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,813960,truncated_max_group_order,,813960,observed_holonomy_order_lcm,23,7,0,False,19,19,control,23,prime_not_eligible,,prime_not_eligible,,,False,wrong_prime_peel_control,c2m3_synchronized,False,,,0.804,0.78,,,,,,,,,,,,1.0,1.0,False,False,prime_not_eligible,prime_not_eligible,mlp,4200
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,813960,truncated_max_group_order,,813960,observed_holonomy_order_lcm,23,7,0,False,19,19,control,23,prime_not_eligible,,prime_not_eligible,,,False,shuffled_prime_quotient_control,c2m3_synchronized,False,,,0.804,0.78,,,,,,,,,,,,1.0,1.0,False,False,prime_not_eligible,prime_not_eligible,mlp,4200
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,813960,truncated_max_group_order,,813960,observed_holonomy_order_lcm,23,7,0,False,19,19,control,23,prime_not_eligible,,prime_not_eligible,,,False,random_same_residual_norm_peel_control,c2m3_synchronized,False,,,0.804,0.78,,,,,,,,,,,,1.0,1.0,False,False,prime_not_eligible,prime_not_eligible,mlp,4200
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,813960,truncated_max_group_order,,813960,observed_holonomy_order_lcm,29,8,0,False,19,19,peel_p_only,29,prime_not_eligible,,prime_not_eligible,,,False,peel_p_then_c2m3,c2m3_synchronized,False,,,0.804,0.78,,,,,,,,,,,,1.0,1.0,False,False,prime_not_eligible,prime_not_eligible,mlp,4200
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,813960,truncated_max_group_order,,813960,observed_holonomy_order_lcm,29,8,0,False,19,19,peel_p_only,29,prime_not_eligible,,prime_not_eligible,,,False,peel_p_then_monomial,monomial_scale,False,,,0.804,0.774,,,,,,,,,,,,1.0,1.0,False,False,prime_not_eligible,prime_not_eligible,mlp,4200
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,813960,truncated_max_group_order,,813960,observed_holonomy_order_lcm,29,8,0,False,19,19,cumulative,"2,3,5,7,17",prime_not_eligible,,prime_not_eligible,,,False,cumulative_peel_then_c2m3,c2m3_synchronized,False,,,0.804,0.78,,,,,,,,,,,,1.0,1.0,False,False,prime_not_eligible,prime_not_eligible,mlp,4200
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,813960,truncated_max_group_order,,813960,observed_holonomy_order_lcm,29,8,0,False,19,19,cumulative,"2,3,5,7,17",prime_not_eligible,,prime_not_eligible,,,False,cumulative_peel_then_monomial,monomial_scale,False,,,0.804,0.774,,,,,,,,,,,,1.0,1.0,False,False,prime_not_eligible,prime_not_eligible,mlp,4200
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,813960,truncated_max_group_order,,813960,observed_holonomy_order_lcm,29,8,0,False,19,19,control,29,prime_not_eligible,,prime_not_eligible,,,False,wrong_prime_peel_control,c2m3_synchronized,False,,,0.804,0.78,,,,,,,,,,,,1.0,1.0,False,False,prime_not_eligible,prime_not_eligible,mlp,4200
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,813960,truncated_max_group_order,,813960,observed_holonomy_order_lcm,29,8,0,False,19,19,control,29,prime_not_eligible,,prime_not_eligible,,,False,shuffled_prime_quotient_control,c2m3_synchronized,False,,,0.804,0.78,,,,,,,,,,,,1.0,1.0,False,False,prime_not_eligible,prime_not_eligible,mlp,4200
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,813960,truncated_max_group_order,,813960,observed_holonomy_order_lcm,29,8,0,False,19,19,control,29,prime_not_eligible,,prime_not_eligible,,,False,random_same_residual_norm_peel_control,c2m3_synchronized,False,,,0.804,0.78,,,,,,,,,,,,1.0,1.0,False,False,prime_not_eligible,prime_not_eligible,mlp,4200
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,813960,truncated_max_group_order,,813960,observed_holonomy_order_lcm,31,9,0,False,19,19,peel_p_only,31,prime_not_eligible,,prime_not_eligible,,,False,peel_p_then_c2m3,c2m3_synchronized,False,,,0.804,0.78,,,,,,,,,,,,1.0,1.0,False,False,prime_not_eligible,prime_not_eligible,mlp,4200
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,813960,truncated_max_group_order,,813960,observed_holonomy_order_lcm,31,9,0,False,19,19,peel_p_only,31,prime_not_eligible,,prime_not_eligible,,,False,peel_p_then_monomial,monomial_scale,False,,,0.804,0.774,,,,,,,,,,,,1.0,1.0,False,False,prime_not_eligible,prime_not_eligible,mlp,4200
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,813960,truncated_max_group_order,,813960,observed_holonomy_order_lcm,31,9,0,False,19,19,cumulative,"2,3,5,7,17",prime_not_eligible,,prime_not_eligible,,,False,cumulative_peel_then_c2m3,c2m3_synchronized,False,,,0.804,0.78,,,,,,,,,,,,1.0,1.0,False,False,prime_not_eligible,prime_not_eligible,mlp,4200
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,813960,truncated_max_group_order,,813960,observed_holonomy_order_lcm,31,9,0,False,19,19,cumulative,"2,3,5,7,17",prime_not_eligible,,prime_not_eligible,,,False,cumulative_peel_then_monomial,monomial_scale,False,,,0.804,0.774,,,,,,,,,,,,1.0,1.0,False,False,prime_not_eligible,prime_not_eligible,mlp,4200
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,813960,truncated_max_group_order,,813960,observed_holonomy_order_lcm,31,9,0,False,19,19,control,31,prime_not_eligible,,prime_not_eligible,,,False,wrong_prime_peel_control,c2m3_synchronized,False,,,0.804,0.78,,,,,,,,,,,,1.0,1.0,False,False,prime_not_eligible,prime_not_eligible,mlp,4200
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,813960,truncated_max_group_order,,813960,observed_holonomy_order_lcm,31,9,0,False,19,19,control,31,prime_not_eligible,,prime_not_eligible,,,False,shuffled_prime_quotient_control,c2m3_synchronized,False,,,0.804,0.78,,,,,,,,,,,,1.0,1.0,False,False,prime_not_eligible,prime_not_eligible,mlp,4200
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,813960,truncated_max_group_order,,813960,observed_holonomy_order_lcm,31,9,0,False,19,19,control,31,prime_not_eligible,,prime_not_eligible,,,False,random_same_residual_norm_peel_control,c2m3_synchronized,False,,,0.804,0.78,,,,,,,,,,,,1.0,1.0,False,False,prime_not_eligible,prime_not_eligible,mlp,4200
