true_family,noise_level,policy,n_rows,acceptance_rate,false_accept_rate,false_reject_rate,scalar_candidate_fraction,mean_spectral_connection_residual,mean_optimized_connection_residual,mean_optimized_improvement,raw_calibrated_threshold,effective_threshold,numerical_floor
exact_global_block_gauge,0.03,loose_diagnostic,360,0.0,0.0,1.0,0.0,4.677979402714522e-16,3.625989287012051e-16,1.0519901157024709e-16,4.476278938830673e-16,1e-12,1e-12
exact_global_block_gauge,0.1,loose_diagnostic,360,0.0,0.0,1.0,0.0,4.677979402714522e-16,3.625989287012051e-16,1.0519901157024709e-16,4.476278938830673e-16,1e-12,1e-12
exact_global_block_gauge,0.2,loose_diagnostic,360,0.0,0.0,1.0,0.0,4.677979402714522e-16,3.625989287012051e-16,1.0519901157024709e-16,4.476278938830673e-16,1e-12,1e-12
exact_global_block_gauge,0.4,loose_diagnostic,360,0.0,0.0,1.0,0.0,4.677979402714522e-16,3.625989287012051e-16,1.0519901157024709e-16,4.476278938830673e-16,1e-12,1e-12
exact_global_block_gauge,0.8,loose_diagnostic,360,0.0,0.0,1.0,0.0,4.677979402714522e-16,3.625989287012051e-16,1.0519901157024709e-16,4.476278938830673e-16,1e-12,1e-12
fake_projection_trap,0.0,loose_diagnostic,360,0.0,0.0,0.0,0.0,0.522756080288049,0.5154616904476081,0.007294389840440936,4.476278938830673e-16,1e-12,1e-12
fake_projection_trap,0.01,loose_diagnostic,360,0.0,0.0,0.0,0.0,0.522756080288049,0.5154616904476081,0.007294389840440936,4.476278938830673e-16,1e-12,1e-12
fake_projection_trap,0.03,loose_diagnostic,360,0.0,0.0,0.0,0.0,0.522756080288049,0.5154616904476081,0.007294389840440936,4.476278938830673e-16,1e-12,1e-12
fake_projection_trap,0.1,loose_diagnostic,360,0.0,0.0,0.0,0.0,0.522756080288049,0.5154616904476081,0.007294389840440936,4.476278938830673e-16,1e-12,1e-12
fake_projection_trap,0.2,loose_diagnostic,360,0.0,0.0,0.0,0.0,0.522756080288049,0.5154616904476081,0.007294389840440936,4.476278938830673e-16,1e-12,1e-12
fake_projection_trap,0.4,loose_diagnostic,360,0.0,0.0,0.0,0.0,0.522756080288049,0.5154616904476081,0.007294389840440936,4.476278938830673e-16,1e-12,1e-12
fake_projection_trap,0.8,loose_diagnostic,360,0.0,0.0,0.0,0.0,0.522756080288049,0.5154616904476081,0.007294389840440936,4.476278938830673e-16,1e-12,1e-12
learned_noncontiguous_block_positive_control,0.0,loose_diagnostic,180,0.0,0.0,1.0,0.0,3.064357686830691e-16,2.441980884680085e-16,6.22376802150606e-17,4.476278938830673e-16,1e-12,1e-12
learned_noncontiguous_block_positive_control,0.01,loose_diagnostic,180,0.0,0.0,1.0,0.0,3.064357686830691e-16,2.441980884680085e-16,6.22376802150606e-17,4.476278938830673e-16,1e-12,1e-12
learned_noncontiguous_block_positive_control,0.03,loose_diagnostic,180,0.0,0.0,1.0,0.0,3.064357686830691e-16,2.441980884680085e-16,6.22376802150606e-17,4.476278938830673e-16,1e-12,1e-12
learned_noncontiguous_block_positive_control,0.1,loose_diagnostic,180,0.0,0.0,1.0,0.0,3.064357686830691e-16,2.441980884680085e-16,6.22376802150606e-17,4.476278938830673e-16,1e-12,1e-12
learned_noncontiguous_block_positive_control,0.2,loose_diagnostic,180,0.0,0.0,1.0,0.0,3.064357686830691e-16,2.441980884680085e-16,6.22376802150606e-17,4.476278938830673e-16,1e-12,1e-12
learned_noncontiguous_block_positive_control,0.4,loose_diagnostic,180,0.0,0.0,1.0,0.0,3.064357686830691e-16,2.441980884680085e-16,6.22376802150606e-17,4.476278938830673e-16,1e-12,1e-12
learned_noncontiguous_block_positive_control,0.8,loose_diagnostic,180,0.0,0.0,1.0,0.0,3.064357686830691e-16,2.441980884680085e-16,6.22376802150606e-17,4.476278938830673e-16,1e-12,1e-12
noisy_global_block_gauge,0.0,loose_diagnostic,360,0.0,0.0,0.0,0.0,4.677979402714522e-16,3.625989287012051e-16,1.0519901157024709e-16,4.476278938830673e-16,1e-12,1e-12
noisy_global_block_gauge,0.01,loose_diagnostic,360,0.0,0.0,0.0,0.0,0.584513977578893,0.5225207564184586,0.06199322116043445,4.476278938830673e-16,1e-12,1e-12
noisy_global_block_gauge,0.03,loose_diagnostic,360,0.0,0.0,0.0,0.0,0.5817601357844959,0.5294726068789465,0.052287528905549524,4.476278938830673e-16,1e-12,1e-12
noisy_global_block_gauge,0.1,loose_diagnostic,360,0.0,0.0,0.0,0.0,0.5735518312010385,0.5382050069879694,0.03534682421306913,4.476278938830673e-16,1e-12,1e-12
noisy_global_block_gauge,0.2,loose_diagnostic,360,0.0,0.0,0.0,0.0,0.5622260712350577,0.5387776654877043,0.02344840574735352,4.476278938830673e-16,1e-12,1e-12
noisy_global_block_gauge,0.4,loose_diagnostic,360,0.0,0.0,0.0,0.0,0.5432872626611612,0.527473937641558,0.01581332501960317,4.476278938830673e-16,1e-12,1e-12
noisy_global_block_gauge,0.8,loose_diagnostic,360,0.0,0.0,0.0,0.0,0.5298552497959133,0.518200860373192,0.011654389422721146,4.476278938830673e-16,1e-12,1e-12
noncentral_block_holonomy,0.0,loose_diagnostic,360,0.0,0.0,0.0,0.0,0.1893812483886321,0.18937656033751935,4.688051112775462e-06,4.476278938830673e-16,1e-12,1e-12
noncentral_block_holonomy,0.01,loose_diagnostic,360,0.0,0.0,0.0,0.0,0.1893812483886321,0.18937656033751935,4.688051112775462e-06,4.476278938830673e-16,1e-12,1e-12
noncentral_block_holonomy,0.03,loose_diagnostic,360,0.0,0.0,0.0,0.0,0.1893812483886321,0.18937656033751935,4.688051112775462e-06,4.476278938830673e-16,1e-12,1e-12
noncentral_block_holonomy,0.1,loose_diagnostic,360,0.0,0.0,0.0,0.0,0.1893812483886321,0.18937656033751935,4.688051112775462e-06,4.476278938830673e-16,1e-12,1e-12
noncentral_block_holonomy,0.2,loose_diagnostic,360,0.0,0.0,0.0,0.0,0.1893812483886321,0.18937656033751935,4.688051112775462e-06,4.476278938830673e-16,1e-12,1e-12
noncentral_block_holonomy,0.4,loose_diagnostic,360,0.0,0.0,0.0,0.0,0.1893812483886321,0.18937656033751935,4.688051112775462e-06,4.476278938830673e-16,1e-12,1e-12
noncentral_block_holonomy,0.8,loose_diagnostic,360,0.0,0.0,0.0,0.0,0.1893812483886321,0.18937656033751935,4.688051112775462e-06,4.476278938830673e-16,1e-12,1e-12
scalar_block_phase_mu2,0.0,loose_diagnostic,360,0.0,0.0,0.0,1.0,0.3610198373530777,0.3160865352232411,0.04493330212983659,4.476278938830673e-16,1e-12,1e-12
scalar_block_phase_mu2,0.01,loose_diagnostic,360,0.0,0.0,0.0,1.0,0.3610198373530777,0.3160865352232411,0.04493330212983659,4.476278938830673e-16,1e-12,1e-12
scalar_block_phase_mu2,0.03,loose_diagnostic,360,0.0,0.0,0.0,1.0,0.3610198373530777,0.3160865352232411,0.04493330212983659,4.476278938830673e-16,1e-12,1e-12
scalar_block_phase_mu2,0.1,loose_diagnostic,360,0.0,0.0,0.0,1.0,0.3610198373530777,0.3160865352232411,0.04493330212983659,4.476278938830673e-16,1e-12,1e-12
scalar_block_phase_mu2,0.2,loose_diagnostic,360,0.0,0.0,0.0,1.0,0.3610198373530777,0.3160865352232411,0.04493330212983659,4.476278938830673e-16,1e-12,1e-12
scalar_block_phase_mu2,0.4,loose_diagnostic,360,0.0,0.0,0.0,1.0,0.3610198373530777,0.3160865352232411,0.04493330212983659,4.476278938830673e-16,1e-12,1e-12
scalar_block_phase_mu2,0.8,loose_diagnostic,360,0.0,0.0,0.0,1.0,0.3610198373530777,0.3160865352232411,0.04493330212983659,4.476278938830673e-16,1e-12,1e-12
