setting_id,run_id,dataset,architecture,n_models,width,domain_shift,matching,seed,epochs,max_train_samples,max_test_samples,batch_size,lr,optimizer,weight_decay,scheduler,step_size,gamma,augmentation,dataset_seed,val_fraction,mean_individual_accuracy,single_best_accuracy,single_worst_accuracy,individual_accuracy_spread,primary_alignment_layer,monomial_scale_methods,monomial_scale_method,pairwise_alignment_residual_mean,pairwise_alignment_residual_max,activation_assignment_similarity_mean,activation_assignment_similarity_min,alignment_source,alignment_noise_fraction,is_injected_alignment_control,cycle_score,monomial_defect_score,mean_cycle_score,max_cycle_score,median_cycle_score,nonidentity_triangle_fraction,mean_triangle_defect_rate,max_triangle_defect_rate,alignment_confidence_score,combined_obstruction_score,sync_reference_model,sync_disagreement,evidence_role,method,test_accuracy,test_loss,val_accuracy,val_loss,validation_accuracy_used_for_selection,selection_indices,uses_validation_data,is_single_model,exact_relu_symmetry,is_soup,is_ensemble_or_extra_capacity,capacity_matched_to_weight_average,capacity_matched_to_rank_lift,branch_count,parameter_count,parameter_multiplier,inference_multiplier,parameter_count_multiplier,inference_time_multiplier,uses_obstruction_residual,uses_distillation,method_note,single_best_merge_degradation,mean_individual_merge_degradation,weight_merge_degradation,delta_vs_weight_average,delta_vs_greedy_soup,delta_vs_c2m3_synchronized,weight_average_degradation_vs_best_single,git_rebasin_degradation_vs_best_single,c2m3_degradation_vs_best_single,c2m3_delta_vs_git_rebasin,c2m3_delta_vs_weight_average,rank_lift_delta_vs_weight_average,rank_lift_delta_vs_c2m3,greedy_soup_delta_vs_weight_average,monomial_scale_min,monomial_scale_max,monomial_scale_mean,monomial_scale_std,monomial_mean_abs_log_scale,monomial_max_abs_log_scale,monomial_log_scale_variance,monomial_scale_assignment_similarity_mean,monomial_scale_assignment_similarity_min,monomial_scale_low_similarity_fraction,functional_preservation_error,functional_preservation_mean_abs_error,functional_preservation_prediction_disagreement
mnist_mlp2_N3_W128_none_monomial_shrinkage_mlp2,mnist_mlp2_N3_W128_none_monomial_shrinkage_mlp2_seed9300,mnist,mlp2,3,128,none,monomial_shrinkage_mlp2,9300,10,10000,5000,128,0.001,adamw,0.0001,cosine,3,0.5,none,314159,0.2,0.9312666666666668,0.932,0.9302,0.0018,hidden2,shrinkage,none,0.3197602033615112,0.3240706026554107,0.7105382289252399,0.0,observed,0.0,False,0.90571104663684,1.2559795645235652,0.90571104663684,0.90571104663684,0.90571104663684,1.0,0.8203125,0.8203125,0.5817880884932329,0.6642213856033203,"hidden1:1,hidden2:0",0.1944444444444444,primary_observed_alignment,weight_average,0.263,1.8017329174041747,0.254,1.799828254699707,,[],False,True,False,False,False,True,False,1,118282,1.0,1.0,1.0,1.0,False,False,single-model merge or selection baseline,0.669,0.6682666666666667,0.669,0.0,-0.6686,-0.6552,0.669,0.0148,0.0138,0.001,0.6552,0.6654,0.0101999999999999,0.6686,,,,,,,,,,,,,
mnist_mlp2_N3_W128_none_monomial_shrinkage_mlp2,mnist_mlp2_N3_W128_none_monomial_shrinkage_mlp2_seed9300,mnist,mlp2,3,128,none,monomial_shrinkage_mlp2,9300,10,10000,5000,128,0.001,adamw,0.0001,cosine,3,0.5,none,314159,0.2,0.9312666666666668,0.932,0.9302,0.0018,hidden2,shrinkage,none,0.3197602033615112,0.3240706026554107,0.7105382289252399,0.0,observed,0.0,False,0.90571104663684,1.2559795645235652,0.90571104663684,0.90571104663684,0.90571104663684,1.0,0.8203125,0.8203125,0.5817880884932329,0.6642213856033203,"hidden1:1,hidden2:0",0.1944444444444444,primary_observed_alignment,greedy_soup,0.9316,0.2385484547615051,0.9435,0.1868340244293213,0.9435,[0],True,True,False,True,False,True,False,1,118282,1.0,1.0,1.0,1.0,False,False,single-model merge or selection baseline,0.0004,-0.0003333333333332,,0.6686,0.0,0.0133999999999999,0.669,0.0148,0.0138,0.001,0.6552,0.6654,0.0101999999999999,0.6686,,,,,,,,,,,,,
mnist_mlp2_N3_W128_none_monomial_shrinkage_mlp2,mnist_mlp2_N3_W128_none_monomial_shrinkage_mlp2_seed9300,mnist,mlp2,3,128,none,monomial_shrinkage_mlp2,9300,10,10000,5000,128,0.001,adamw,0.0001,cosine,3,0.5,none,314159,0.2,0.9312666666666668,0.932,0.9302,0.0018,hidden2,shrinkage,none,0.3197602033615112,0.3240706026554107,0.7105382289252399,0.0,observed,0.0,False,0.90571104663684,1.2559795645235652,0.90571104663684,0.90571104663684,0.90571104663684,1.0,0.8203125,0.8203125,0.5817880884932329,0.6642213856033203,"hidden1:1,hidden2:0",0.1944444444444444,primary_observed_alignment,git_rebasin_pairwise_ref0,0.9172,0.3256543450355529,0.927,0.2867137460708618,,[],False,True,True,False,False,True,False,1,118282,1.0,1.0,1.0,1.0,False,False,single-model merge or selection baseline,0.0148,0.0140666666666666,,0.6542,-0.0143999999999999,-0.001,0.669,0.0148,0.0138,0.001,0.6552,0.6654,0.0101999999999999,0.6686,,,,,,,,,,,,,
mnist_mlp2_N3_W128_none_monomial_shrinkage_mlp2,mnist_mlp2_N3_W128_none_monomial_shrinkage_mlp2_seed9300,mnist,mlp2,3,128,none,monomial_shrinkage_mlp2,9300,10,10000,5000,128,0.001,adamw,0.0001,cosine,3,0.5,none,314159,0.2,0.9312666666666668,0.932,0.9302,0.0018,hidden2,shrinkage,shrinkage,0.3197602033615112,0.3240706026554107,0.7105382289252399,0.0,observed,0.0,False,0.90571104663684,1.2559795645235652,0.90571104663684,0.90571104663684,0.90571104663684,1.0,0.8203125,0.8203125,0.5817880884932329,0.6642213856033203,"hidden1:1,hidden2:0",0.1944444444444444,primary_observed_alignment,monomial_gauge_ref0_shrinkage,0.9188,0.3222010172843933,0.9305,0.2841272764205932,,[],False,True,True,False,False,True,False,1,118282,1.0,1.0,1.0,1.0,False,False,single-model merge or selection baseline,0.0132000000000001,0.0124666666666667,,0.6557999999999999,-0.0128,0.0005999999999999,0.669,0.0148,0.0138,0.001,0.6552,0.6654,0.0101999999999999,0.6686,0.3678794411714423,2.5807473442002062,0.9714768181666424,0.1669847549862004,0.1273544782371621,1.0,0.0292876841568301,0.7273068050494703,0.0,0.0872395833333333,7.62939453125e-06,6.508409569505602e-07,0.0
mnist_mlp2_N3_W128_none_monomial_shrinkage_mlp2,mnist_mlp2_N3_W128_none_monomial_shrinkage_mlp2_seed9300,mnist,mlp2,3,128,none,monomial_shrinkage_mlp2,9300,10,10000,5000,128,0.001,adamw,0.0001,cosine,3,0.5,none,314159,0.2,0.9312666666666668,0.932,0.9302,0.0018,hidden2,shrinkage,none,0.3197602033615112,0.3240706026554107,0.7105382289252399,0.0,observed,0.0,False,0.90571104663684,1.2559795645235652,0.90571104663684,0.90571104663684,0.90571104663684,1.0,0.8203125,0.8203125,0.5817880884932329,0.6642213856033203,"hidden1:1,hidden2:0",0.1944444444444444,primary_observed_alignment,c2m3_synchronized,0.9182,0.3283321264266968,0.9295,0.2860850114822387,,[],False,True,True,False,False,True,False,1,118282,1.0,1.0,1.0,1.0,False,False,single-model merge or selection baseline,0.0138,0.0130666666666666,,0.6552,-0.0133999999999999,0.0,0.669,0.0148,0.0138,0.001,0.6552,0.6654,0.0101999999999999,0.6686,,,,,,,,,,,,,
mnist_mlp2_N3_W128_none_monomial_shrinkage_mlp2,mnist_mlp2_N3_W128_none_monomial_shrinkage_mlp2_seed9300,mnist,mlp2,3,128,none,monomial_shrinkage_mlp2,9300,10,10000,5000,128,0.001,adamw,0.0001,cosine,3,0.5,none,314159,0.2,0.9312666666666668,0.932,0.9302,0.0018,hidden2,shrinkage,none,0.3197602033615112,0.3240706026554107,0.7105382289252399,0.0,observed,0.0,False,0.90571104663684,1.2559795645235652,0.90571104663684,0.90571104663684,0.90571104663684,1.0,0.8203125,0.8203125,0.5817880884932329,0.6642213856033203,"hidden1:1,hidden2:0",0.1944444444444444,primary_observed_alignment,ensemble_upper_bound,0.9302,0.2400770690441131,0.94,0.1877326154708862,,[],False,False,False,False,True,False,False,3,354846,3.0,3.0,3.0,3.0,False,False,extra-capacity ensemble upper bound over local models,0.0018,0.0010666666666666,,0.6672,-0.0013999999999999,0.012,0.669,0.0148,0.0138,0.001,0.6552,0.6654,0.0101999999999999,0.6686,,,,,,,,,,,,,
mnist_mlp2_N3_W128_none_monomial_shrinkage_mlp2,mnist_mlp2_N3_W128_none_monomial_shrinkage_mlp2_seed9300,mnist,mlp2,3,128,none,monomial_shrinkage_mlp2,9300,10,10000,5000,128,0.001,adamw,0.0001,cosine,3,0.5,none,314159,0.2,0.9312666666666668,0.932,0.9302,0.0018,hidden2,shrinkage,none,0.3197602033615112,0.3240706026554107,0.7105382289252399,0.0,observed,0.0,False,0.90571104663684,1.2559795645235652,0.90571104663684,0.90571104663684,0.90571104663684,1.0,0.8203125,0.8203125,0.5817880884932329,0.6642213856033203,"hidden1:1,hidden2:0",0.1944444444444444,primary_observed_alignment,twisted_rank_lift_2,0.9284,0.2551946823120117,0.94,0.2080099210739135,,[],False,False,True,False,True,False,True,2,236564,2.0,2.0,2.0,2.0,True,False,"rank-lift branch ensemble; extra capacity, not a single merged model",0.0036,0.0028666666666666,,0.6654,-0.0031999999999999,0.0101999999999999,0.669,0.0148,0.0138,0.001,0.6552,0.6654,0.0101999999999999,0.6686,,,,,,,,,,,,,
mnist_mlp2_N3_W128_none_monomial_shrinkage_mlp2,mnist_mlp2_N3_W128_none_monomial_shrinkage_mlp2_seed9300,mnist,mlp2,3,128,none,monomial_shrinkage_mlp2,9300,10,10000,5000,128,0.001,adamw,0.0001,cosine,3,0.5,none,314159,0.2,0.9312666666666668,0.932,0.9302,0.0018,hidden2,shrinkage,none,0.3197602033615112,0.3240706026554107,0.7105382289252399,0.0,observed,0.0,False,0.90571104663684,1.2559795645235652,0.90571104663684,0.90571104663684,0.90571104663684,1.0,0.8203125,0.8203125,0.5817880884932329,0.6642213856033203,"hidden1:1,hidden2:0",0.1944444444444444,primary_observed_alignment,random_branch_ensemble_2,0.927,0.2535056158304214,0.9395,0.2033596839904785,,[],False,False,True,False,True,False,True,2,236564,2.0,2.0,2.0,2.0,False,False,random branch ensemble matched to rank-lift branch count; non-obstruction control,0.005,0.0042666666666666,,0.664,-0.0045999999999999,0.0088,0.669,0.0148,0.0138,0.001,0.6552,0.6654,0.0101999999999999,0.6686,,,,,,,,,,,,,
mnist_mlp2_N3_W128_none_monomial_shrinkage_mlp2,mnist_mlp2_N3_W128_none_monomial_shrinkage_mlp2_seed9300,mnist,mlp2,3,128,none,monomial_shrinkage_mlp2,9300,10,10000,5000,128,0.001,adamw,0.0001,cosine,3,0.5,none,314159,0.2,0.9312666666666668,0.932,0.9302,0.0018,hidden2,shrinkage,none,0.3197602033615112,0.3240706026554107,0.7105382289252399,0.0,observed,0.0,False,0.90571104663684,1.2559795645235652,0.90571104663684,0.90571104663684,0.90571104663684,1.0,0.8203125,0.8203125,0.5817880884932329,0.6642213856033203,"hidden1:1,hidden2:0",0.1944444444444444,primary_observed_alignment,validation_branch_ensemble_2,0.931,0.2362371693611145,0.9415,0.1828890933990478,,[],True,False,False,False,True,False,True,2,236564,2.0,2.0,2.0,2.0,False,False,validation-selected branch ensemble matched to rank-lift branch count; non-obstruction control,0.001,0.0002666666666666,,0.668,-0.0005999999999999,0.0128,0.669,0.0148,0.0138,0.001,0.6552,0.6654,0.0101999999999999,0.6686,,,,,,,,,,,,,
mnist_mlp2_N3_W128_none_monomial_shrinkage_mlp2,mnist_mlp2_N3_W128_none_monomial_shrinkage_mlp2_seed9300,mnist,mlp2,3,128,none,monomial_shrinkage_mlp2,9300,10,10000,5000,128,0.001,adamw,0.0001,cosine,3,0.5,none,314159,0.2,0.9312666666666668,0.932,0.9302,0.0018,hidden2,shrinkage,none,0.3197602033615112,0.3240706026554107,0.7105382289252399,0.0,observed,0.0,False,0.90571104663684,1.2559795645235652,0.90571104663684,0.90571104663684,0.90571104663684,1.0,0.8203125,0.8203125,0.5817880884932329,0.6642213856033203,"hidden1:1,hidden2:0",0.1944444444444444,primary_observed_alignment,c2m3_cluster_branch_ensemble_2,0.9284,0.2551946823120117,0.94,0.2080099210739135,,[],False,False,True,False,True,False,True,2,236564,2.0,2.0,2.0,2.0,False,False,C2M3-distance branch ensemble matched to rank-lift branch count; no obstruction residual used,0.0036,0.0028666666666666,,0.6654,-0.0031999999999999,0.0101999999999999,0.669,0.0148,0.0138,0.001,0.6552,0.6654,0.0101999999999999,0.6686,,,,,,,,,,,,,
mnist_mlp2_N3_W128_none_monomial_global_ls_mlp2,mnist_mlp2_N3_W128_none_monomial_global_ls_mlp2_seed9300,mnist,mlp2,3,128,none,monomial_global_ls_mlp2,9300,10,10000,5000,128,0.001,adamw,0.0001,cosine,3,0.5,none,314159,0.2,0.9312666666666668,0.932,0.9302,0.0018,hidden2,global_synchronized,none,0.3197602033615112,0.3240706026554107,0.7105382289252399,0.0,observed,0.0,False,0.90571104663684,1.2936480530065717,0.90571104663684,0.90571104663684,0.90571104663684,1.0,0.8203125,0.8203125,0.5817880884932329,0.6642213856033203,"hidden1:1,hidden2:0",0.1944444444444444,primary_observed_alignment,weight_average,0.263,1.8017329174041747,0.254,1.799828254699707,,[],False,True,False,False,False,True,False,1,118282,1.0,1.0,1.0,1.0,False,False,single-model merge or selection baseline,0.669,0.6682666666666667,0.669,0.0,-0.6686,-0.6552,0.669,0.0148,0.0138,0.001,0.6552,0.6654,0.0101999999999999,0.6686,,,,,,,,,,,,,
mnist_mlp2_N3_W128_none_monomial_global_ls_mlp2,mnist_mlp2_N3_W128_none_monomial_global_ls_mlp2_seed9300,mnist,mlp2,3,128,none,monomial_global_ls_mlp2,9300,10,10000,5000,128,0.001,adamw,0.0001,cosine,3,0.5,none,314159,0.2,0.9312666666666668,0.932,0.9302,0.0018,hidden2,global_synchronized,none,0.3197602033615112,0.3240706026554107,0.7105382289252399,0.0,observed,0.0,False,0.90571104663684,1.2936480530065717,0.90571104663684,0.90571104663684,0.90571104663684,1.0,0.8203125,0.8203125,0.5817880884932329,0.6642213856033203,"hidden1:1,hidden2:0",0.1944444444444444,primary_observed_alignment,greedy_soup,0.9316,0.2385484547615051,0.9435,0.1868340244293213,0.9435,[0],True,True,False,True,False,True,False,1,118282,1.0,1.0,1.0,1.0,False,False,single-model merge or selection baseline,0.0004,-0.0003333333333332,,0.6686,0.0,0.0133999999999999,0.669,0.0148,0.0138,0.001,0.6552,0.6654,0.0101999999999999,0.6686,,,,,,,,,,,,,
mnist_mlp2_N3_W128_none_monomial_global_ls_mlp2,mnist_mlp2_N3_W128_none_monomial_global_ls_mlp2_seed9300,mnist,mlp2,3,128,none,monomial_global_ls_mlp2,9300,10,10000,5000,128,0.001,adamw,0.0001,cosine,3,0.5,none,314159,0.2,0.9312666666666668,0.932,0.9302,0.0018,hidden2,global_synchronized,none,0.3197602033615112,0.3240706026554107,0.7105382289252399,0.0,observed,0.0,False,0.90571104663684,1.2936480530065717,0.90571104663684,0.90571104663684,0.90571104663684,1.0,0.8203125,0.8203125,0.5817880884932329,0.6642213856033203,"hidden1:1,hidden2:0",0.1944444444444444,primary_observed_alignment,git_rebasin_pairwise_ref0,0.9172,0.3256543450355529,0.927,0.2867137460708618,,[],False,True,True,False,False,True,False,1,118282,1.0,1.0,1.0,1.0,False,False,single-model merge or selection baseline,0.0148,0.0140666666666666,,0.6542,-0.0143999999999999,-0.001,0.669,0.0148,0.0138,0.001,0.6552,0.6654,0.0101999999999999,0.6686,,,,,,,,,,,,,
