policy,residual_source,dataset,n_models,width,matching,n_residuals,pre_bootstrap_policy_pass_count,certified_torsion_count,loose_uncertain_count,mean_centrality_residual,min_centrality_residual,mean_scalar_residual_best,min_scalar_residual_best,mean_finite_order_residual_min,min_finite_order_residual_min,max_null_false_positive_rate,claim_status
strict_fpr_0,permutation_c2m3_triangle,mnist,3,64,monomial_activation,60,0,0,0,0.9748871190695361,0.9331932326024445,1.2526391800522014,1.1319231422671772,1.1505914919951186,0.8660254037844386,0.0,supported_negative_no_certified_torsion
strict_fpr_0,permutation_c2m3_triangle,mnist,3,64,monomial_weight,60,0,0,0,0.9823048535305251,0.94463431251199,1.2802181104550079,1.159202311936963,1.1966919680940629,0.9682458365518543,0.0,supported_negative_no_certified_torsion
strict_fpr_0,permutation_c2m3_triangle,mnist,3,128,monomial_activation,60,0,0,0,0.9816921513742766,0.9499177595981665,1.2757602296066282,1.1726039399558574,1.2137925216232044,1.1110243021644486,0.0,supported_negative_no_certified_torsion
strict_fpr_0,permutation_c2m3_triangle,mnist,3,128,monomial_weight,60,0,0,0,0.986981227532162,0.9739966291490695,1.2976189186740674,1.243734296383275,1.2403013335033473,1.1388041973930374,0.0,supported_negative_no_certified_torsion
strict_fpr_0,permutation_c2m3_triangle,mnist,4,64,monomial_activation,240,0,0,0,0.975662784732298,0.9137619698258403,1.2568461791389514,1.0897247358851685,1.1611268722381012,0.8100925873009825,0.0,supported_negative_no_certified_torsion
strict_fpr_0,permutation_c2m3_triangle,mnist,4,64,monomial_weight,240,0,0,0,0.9805670875428707,0.94463431251199,1.2736129827344054,1.159202311936963,1.1858086620545953,0.9013878188659973,0.0,supported_negative_no_certified_torsion
strict_fpr_0,permutation_c2m3_triangle,mnist,4,128,monomial_activation,240,0,0,0,0.9820052338312363,0.9573102271958396,1.2764515395860614,1.192424001771182,1.214051719342707,1.0825317547305484,0.0,supported_negative_no_certified_torsion
strict_fpr_0,permutation_c2m3_triangle,mnist,4,128,monomial_weight,240,0,0,0,0.9843862447688774,0.9618897720600579,1.2866245815131805,1.2054563451241194,1.2347319931155603,1.0968705484240153,0.0,supported_negative_no_certified_torsion
strict_fpr_001,monomial_positive_scale_summary,fashion_mnist,3,64,monomial_activation,87,0,0,0,1.25721602681952,1.1443066048640815,1.25721602681952,1.1443066048640815,,,0.0,supported_negative_no_certified_torsion
strict_fpr_001,monomial_positive_scale_summary,fashion_mnist,3,64,monomial_weight,98,0,0,0,1.2865990526583353,1.1121917881642036,1.2865990526583353,1.1121917881642036,,,0.0,supported_negative_no_certified_torsion
strict_fpr_001,monomial_positive_scale_summary,fashion_mnist,3,128,monomial_activation,107,0,0,0,1.2922652603308775,1.167969605941365,1.2922652603308775,1.167969605941365,,,0.0,supported_negative_no_certified_torsion
strict_fpr_001,monomial_positive_scale_summary,fashion_mnist,3,128,monomial_weight,93,0,0,0,1.310844502256431,1.2310655256363106,1.310844502256431,1.2310655256363106,,,0.0,supported_negative_no_certified_torsion
strict_fpr_001,monomial_positive_scale_summary,fashion_mnist,4,64,monomial_activation,397,0,0,0,1.2766146746395592,1.1116726530083931,1.2766146746395592,1.1116726530083931,,,0.0,supported_negative_no_certified_torsion
strict_fpr_001,monomial_positive_scale_summary,fashion_mnist,4,64,monomial_weight,401,0,0,0,1.2924643809618148,1.1874826918586527,1.2924643809618148,1.1874826918586527,,,0.0,supported_negative_no_certified_torsion
strict_fpr_001,monomial_positive_scale_summary,fashion_mnist,4,128,monomial_activation,367,0,0,0,1.5276852325875883,1.186516160345249,1.5276852325875883,1.186516160345249,,,0.0,supported_negative_no_certified_torsion
strict_fpr_001,monomial_positive_scale_summary,fashion_mnist,4,128,monomial_weight,421,0,0,0,1.308892409705736,1.238120321797699,1.308892409705736,1.238120321797699,,,0.0,supported_negative_no_certified_torsion
strict_fpr_001,monomial_positive_scale_summary,mnist,3,64,monomial_activation,98,0,0,0,1.2016052597589661,1.0456832544622323,1.2016052597589661,1.0456832544622323,,,0.0,supported_negative_no_certified_torsion
strict_fpr_001,monomial_positive_scale_summary,mnist,3,64,monomial_weight,108,0,0,0,1.2808476864533063,1.159674026652005,1.2808476864533063,1.159674026652005,,,0.0,supported_negative_no_certified_torsion
strict_fpr_001,monomial_positive_scale_summary,mnist,3,128,monomial_activation,119,0,0,0,1.2226677039825047,1.0850147238897052,1.2226677039825047,1.0850147238897052,,,0.0,supported_negative_no_certified_torsion
strict_fpr_001,monomial_positive_scale_summary,mnist,3,128,monomial_weight,106,0,0,0,1.298984925485965,1.2446689391563504,1.298984925485965,1.2446689391563504,,,0.0,supported_negative_no_certified_torsion
strict_fpr_001,monomial_positive_scale_summary,mnist,4,64,monomial_activation,399,0,0,0,1.2261180625755153,1.014953028373946,1.2261180625755153,1.014953028373946,,,0.0,supported_negative_no_certified_torsion
strict_fpr_001,monomial_positive_scale_summary,mnist,4,64,monomial_weight,385,0,0,0,1.2751669445642961,1.1597720429613838,1.2751669445642961,1.1597720429613838,,,0.0,supported_negative_no_certified_torsion
strict_fpr_001,monomial_positive_scale_summary,mnist,4,128,monomial_activation,407,0,0,0,1.2282634837270454,1.1062772597764874,1.2282634837270454,1.1062772597764874,,,0.0,supported_negative_no_certified_torsion
strict_fpr_001,monomial_positive_scale_summary,mnist,4,128,monomial_weight,407,0,0,0,1.290472305350731,1.206562489332108,1.290472305350731,1.206562489332108,,,0.0,supported_negative_no_certified_torsion
strict_fpr_001,permutation_c2m3_triangle,fashion_mnist,3,64,monomial_activation,60,0,0,0,0.976214417429854,0.9499177595981665,1.255084571965386,1.1726039399558574,1.140034571591907,0.9354143466934853,0.0,supported_negative_no_certified_torsion
strict_fpr_001,permutation_c2m3_triangle,fashion_mnist,3,64,monomial_weight,60,0,0,0,0.9819817362872857,0.9205498951034647,1.2800636972896915,1.103970108290981,1.2076481615666017,1.0307764064044151,0.0,supported_negative_no_certified_torsion
strict_fpr_001,permutation_c2m3_triangle,fashion_mnist,3,128,monomial_activation,60,0,0,0,0.9822984564487691,0.9573102271958396,1.277312839364846,1.192424001771182,1.1983521873831,1.0458250331675945,0.0,supported_negative_no_certified_torsion
strict_fpr_001,permutation_c2m3_triangle,fashion_mnist,3,128,monomial_weight,60,0,0,0,0.9883180593846013,0.9682458365518543,1.3045000794059096,1.224744871391589,1.2556438165326531,1.159202311936963,0.0,supported_negative_no_certified_torsion
strict_fpr_001,permutation_c2m3_triangle,fashion_mnist,4,64,monomial_activation,240,0,0,0,0.978125918858241,0.9270248108869579,1.264308021808216,1.118033988749895,1.1428974228808362,0.9013878188659973,0.0,supported_negative_no_certified_torsion
strict_fpr_001,permutation_c2m3_triangle,fashion_mnist,4,64,monomial_weight,240,0,0,0,0.9849666399845861,0.9549163494123452,1.2911181603733948,1.1858541225631423,1.2038785454622933,0.9842509842514764,0.0,supported_negative_no_certified_torsion
strict_fpr_001,permutation_c2m3_triangle,fashion_mnist,4,128,monomial_activation,240,0,0,0,0.9828207340843913,0.9596345332990055,1.2797308757730457,1.1989578808281798,1.207435270293545,1.0825317547305484,0.0,supported_negative_no_certified_torsion
strict_fpr_001,permutation_c2m3_triangle,fashion_mnist,4,128,monomial_weight,240,0,0,0,0.9883241719859512,0.9721462643938925,1.3046636334813007,1.2374368670764582,1.2511529624395579,1.159202311936963,0.0,supported_negative_no_certified_torsion
strict_fpr_001,permutation_c2m3_triangle,mnist,3,64,monomial_activation,60,0,0,0,0.9748871190695361,0.9331932326024445,1.2526391800522014,1.1319231422671772,1.1505914919951186,0.8660254037844386,0.0,supported_negative_no_certified_torsion
strict_fpr_001,permutation_c2m3_triangle,mnist,3,64,monomial_weight,60,0,0,0,0.9823048535305251,0.94463431251199,1.2802181104550079,1.159202311936963,1.1966919680940629,0.9682458365518543,0.0,supported_negative_no_certified_torsion
strict_fpr_001,permutation_c2m3_triangle,mnist,3,128,monomial_activation,60,0,0,0,0.9816921513742766,0.9499177595981665,1.2757602296066282,1.1726039399558574,1.2137925216232044,1.1110243021644486,0.0,supported_negative_no_certified_torsion
strict_fpr_001,permutation_c2m3_triangle,mnist,3,128,monomial_weight,60,0,0,0,0.986981227532162,0.9739966291490695,1.2976189186740674,1.243734296383275,1.2403013335033473,1.1388041973930374,0.0,supported_negative_no_certified_torsion
strict_fpr_001,permutation_c2m3_triangle,mnist,4,64,monomial_activation,240,0,0,0,0.975662784732298,0.9137619698258403,1.2568461791389514,1.0897247358851685,1.1611268722381012,0.8100925873009825,0.0,supported_negative_no_certified_torsion
strict_fpr_001,permutation_c2m3_triangle,mnist,4,64,monomial_weight,240,0,0,0,0.9805670875428707,0.94463431251199,1.2736129827344054,1.159202311936963,1.1858086620545953,0.9013878188659973,0.0,supported_negative_no_certified_torsion
strict_fpr_001,permutation_c2m3_triangle,mnist,4,128,monomial_activation,240,0,0,0,0.9820052338312363,0.9573102271958396,1.2764515395860614,1.192424001771182,1.214051719342707,1.0825317547305484,0.0,supported_negative_no_certified_torsion
strict_fpr_001,permutation_c2m3_triangle,mnist,4,128,monomial_weight,240,0,0,0,0.9843862447688774,0.9618897720600579,1.2866245815131805,1.2054563451241194,1.2347319931155603,1.0968705484240153,0.0,supported_negative_no_certified_torsion
loose_1e-2,monomial_positive_scale_summary,fashion_mnist,3,64,monomial_activation,87,0,0,0,1.25721602681952,1.1443066048640815,1.25721602681952,1.1443066048640815,,,0.0,supported_negative_no_certified_torsion
loose_1e-2,monomial_positive_scale_summary,fashion_mnist,3,64,monomial_weight,98,0,0,0,1.2865990526583353,1.1121917881642036,1.2865990526583353,1.1121917881642036,,,0.0,supported_negative_no_certified_torsion
loose_1e-2,monomial_positive_scale_summary,fashion_mnist,3,128,monomial_activation,107,0,0,0,1.2922652603308775,1.167969605941365,1.2922652603308775,1.167969605941365,,,0.0,supported_negative_no_certified_torsion
loose_1e-2,monomial_positive_scale_summary,fashion_mnist,3,128,monomial_weight,93,0,0,0,1.310844502256431,1.2310655256363106,1.310844502256431,1.2310655256363106,,,0.0,supported_negative_no_certified_torsion
loose_1e-2,monomial_positive_scale_summary,fashion_mnist,4,64,monomial_activation,397,0,0,0,1.2766146746395592,1.1116726530083931,1.2766146746395592,1.1116726530083931,,,0.0,supported_negative_no_certified_torsion
loose_1e-2,monomial_positive_scale_summary,fashion_mnist,4,64,monomial_weight,401,0,0,0,1.2924643809618148,1.1874826918586527,1.2924643809618148,1.1874826918586527,,,0.0,supported_negative_no_certified_torsion
loose_1e-2,monomial_positive_scale_summary,fashion_mnist,4,128,monomial_activation,367,0,0,0,1.5276852325875883,1.186516160345249,1.5276852325875883,1.186516160345249,,,0.0,supported_negative_no_certified_torsion
loose_1e-2,monomial_positive_scale_summary,fashion_mnist,4,128,monomial_weight,421,0,0,0,1.308892409705736,1.238120321797699,1.308892409705736,1.238120321797699,,,0.0,supported_negative_no_certified_torsion
loose_1e-2,monomial_positive_scale_summary,mnist,3,64,monomial_activation,98,0,0,0,1.2016052597589661,1.0456832544622323,1.2016052597589661,1.0456832544622323,,,0.0,supported_negative_no_certified_torsion
loose_1e-2,monomial_positive_scale_summary,mnist,3,64,monomial_weight,108,0,0,0,1.2808476864533063,1.159674026652005,1.2808476864533063,1.159674026652005,,,0.0,supported_negative_no_certified_torsion
loose_1e-2,monomial_positive_scale_summary,mnist,3,128,monomial_activation,119,0,0,0,1.2226677039825047,1.0850147238897052,1.2226677039825047,1.0850147238897052,,,0.0,supported_negative_no_certified_torsion
loose_1e-2,monomial_positive_scale_summary,mnist,3,128,monomial_weight,106,0,0,0,1.298984925485965,1.2446689391563504,1.298984925485965,1.2446689391563504,,,0.0,supported_negative_no_certified_torsion
loose_1e-2,monomial_positive_scale_summary,mnist,4,64,monomial_activation,399,0,0,0,1.2261180625755153,1.014953028373946,1.2261180625755153,1.014953028373946,,,0.0,supported_negative_no_certified_torsion
loose_1e-2,monomial_positive_scale_summary,mnist,4,64,monomial_weight,385,0,0,0,1.2751669445642961,1.1597720429613838,1.2751669445642961,1.1597720429613838,,,0.0,supported_negative_no_certified_torsion
loose_1e-2,monomial_positive_scale_summary,mnist,4,128,monomial_activation,407,0,0,0,1.2282634837270454,1.1062772597764874,1.2282634837270454,1.1062772597764874,,,0.0,supported_negative_no_certified_torsion
loose_1e-2,monomial_positive_scale_summary,mnist,4,128,monomial_weight,407,0,0,0,1.290472305350731,1.206562489332108,1.290472305350731,1.206562489332108,,,0.0,supported_negative_no_certified_torsion
loose_1e-2,permutation_c2m3_triangle,fashion_mnist,3,64,monomial_activation,60,0,0,0,0.976214417429854,0.9499177595981665,1.255084571965386,1.1726039399558574,1.140034571591907,0.9354143466934853,0.0,supported_negative_no_certified_torsion
loose_1e-2,permutation_c2m3_triangle,fashion_mnist,3,64,monomial_weight,60,0,0,0,0.9819817362872857,0.9205498951034647,1.2800636972896915,1.103970108290981,1.2076481615666017,1.0307764064044151,0.0,supported_negative_no_certified_torsion
loose_1e-2,permutation_c2m3_triangle,fashion_mnist,3,128,monomial_activation,60,0,0,0,0.9822984564487691,0.9573102271958396,1.277312839364846,1.192424001771182,1.1983521873831,1.0458250331675945,0.0,supported_negative_no_certified_torsion
loose_1e-2,permutation_c2m3_triangle,fashion_mnist,3,128,monomial_weight,60,0,0,0,0.9883180593846013,0.9682458365518543,1.3045000794059096,1.224744871391589,1.2556438165326531,1.159202311936963,0.0,supported_negative_no_certified_torsion
loose_1e-2,permutation_c2m3_triangle,fashion_mnist,4,64,monomial_activation,240,0,0,0,0.978125918858241,0.9270248108869579,1.264308021808216,1.118033988749895,1.1428974228808362,0.9013878188659973,0.0,supported_negative_no_certified_torsion
loose_1e-2,permutation_c2m3_triangle,fashion_mnist,4,64,monomial_weight,240,0,0,0,0.9849666399845861,0.9549163494123452,1.2911181603733948,1.1858541225631423,1.2038785454622933,0.9842509842514764,0.0,supported_negative_no_certified_torsion
loose_1e-2,permutation_c2m3_triangle,fashion_mnist,4,128,monomial_activation,240,0,0,0,0.9828207340843913,0.9596345332990055,1.2797308757730457,1.1989578808281798,1.207435270293545,1.0825317547305484,0.0,supported_negative_no_certified_torsion
loose_1e-2,permutation_c2m3_triangle,fashion_mnist,4,128,monomial_weight,240,0,0,0,0.9883241719859512,0.9721462643938925,1.3046636334813007,1.2374368670764582,1.2511529624395579,1.159202311936963,0.0,supported_negative_no_certified_torsion
loose_1e-2,permutation_c2m3_triangle,mnist,3,64,monomial_activation,60,0,0,0,0.9748871190695361,0.9331932326024445,1.2526391800522014,1.1319231422671772,1.1505914919951186,0.8660254037844386,0.0,supported_negative_no_certified_torsion
