seed,dataset,architecture,n_models,width,defect_family,inconsistency_level,level_order,n_planted_swaps,corrupted_edge,base_accuracy,base_loss,copy_accuracy_std,max_logit_disagreement,true_cycle_score,planted_cycle_score,sync_disagreement,baseline,loss,accuracy,merge_degradation,uses_planted_alignment,is_single_model,capacity_matched_to_weight_average,method_note
1200,mnist,mlp,4,32,central_mu2,high,3,12,0-1,0.864,0.5655731048583984,0.0,1.9073486328125e-06,0.0,0.4330127018922193,0.09375,twisted_rank_lift_2,0.5655731048583984,0.864,0.0,True,False,False,branch ensemble / extra capacity
1200,mnist,mlp,4,32,central_mu2,high,3,12,0-1,0.864,0.5655731048583984,0.0,1.9073486328125e-06,0.0,0.4330127018922193,0.09375,ensemble_upper_bound,0.5655731048583984,0.864,0.0,False,False,False,ensemble of equivalent copies
1200,mnist,mlp,4,32,central_mu2,high,3,12,0-1,0.864,0.5655731048583984,0.0,1.9073486328125e-06,0.0,0.4330127018922193,0.09375,oracle_true_alignment,0.5655731048583984,0.864,0.0,False,True,True,"single model, uses uncorrupted true alignments"
1200,mnist,mlp,4,32,random_noncentral,zero,0,0,none,0.864,0.5655731048583984,0.0,1.9073486328125e-06,0.0,0.0,0.0,weight_average,1.6530938110351563,0.51,0.354,False,True,True,"single model, no alignment observations"
1200,mnist,mlp,4,32,random_noncentral,zero,0,0,none,0.864,0.5655731048583984,0.0,1.9073486328125e-06,0.0,0.0,0.0,git_rebasin_pairwise,0.5655731048583984,0.864,0.0,True,True,True,"single model, aligns to model 0 using planted pairwise maps"
1200,mnist,mlp,4,32,random_noncentral,zero,0,0,none,0.864,0.5655731048583984,0.0,1.9073486328125e-06,0.0,0.0,0.0,c2m3_cycle_consistent,0.5655731048583984,0.864,0.0,True,True,True,"single model, synchronized pairwise maps"
1200,mnist,mlp,4,32,random_noncentral,zero,0,0,none,0.864,0.5655731048583984,0.0,1.9073486328125e-06,0.0,0.0,0.0,twisted_rank_lift_2,0.5655731048583984,0.864,0.0,True,False,False,branch ensemble / extra capacity
1200,mnist,mlp,4,32,random_noncentral,zero,0,0,none,0.864,0.5655731048583984,0.0,1.9073486328125e-06,0.0,0.0,0.0,ensemble_upper_bound,0.5655731048583984,0.864,0.0,False,False,False,ensemble of equivalent copies
1200,mnist,mlp,4,32,random_noncentral,zero,0,0,none,0.864,0.5655731048583984,0.0,1.9073486328125e-06,0.0,0.0,0.0,oracle_true_alignment,0.5655731048583984,0.864,0.0,False,True,True,"single model, uses uncorrupted true alignments"
1200,mnist,mlp,4,32,random_noncentral,low,1,2,0-1,0.864,0.5655731048583984,0.0,1.9073486328125e-06,0.0,0.1767766952966369,0.015625,weight_average,1.6530938110351563,0.51,0.354,False,True,True,"single model, no alignment observations"
